wav_path,emotion,prompt_id,tts
sentences/azure/fold_1_en-US-JennyNeural/38.wav,happy,idx38,azure
sentences/cosyvoice2/fold_3_echo/38.wav,happy,idx38,cosyvoice2
sentences/genai/fold_1_zephyr/38.wav,happy,idx38,genai
sentences/openai/fold_2_coral/38.wav,happy,idx38,openai
sentences/azure/fold_4_en-US-AriaNeural/14.wav,disgusted,idx14,azure
sentences/cosyvoice2/fold_3_echo/14.wav,disgusted,idx14,cosyvoice2
sentences/genai/fold_1_zephyr/14.wav,disgusted,idx14,genai
sentences/openai/fold_3_echo/14.wav,disgusted,idx14,openai
sentences/azure/fold_3_en-US-GuyNeural/51.wav,sad,idx51,azure
sentences/cosyvoice2/fold_3_echo/51.wav,sad,idx51,cosyvoice2
sentences/genai/fold_2_leda/51.wav,sad,idx51,genai
sentences/openai/fold_4_onyx/51.wav,sad,idx51,openai
sentences/azure/fold_3_en-US-GuyNeural/50.wav,neutral,idx50,azure
sentences/cosyvoice2/fold_4_onyx/50.wav,neutral,idx50,cosyvoice2
sentences/genai/fold_4_kore/50.wav,neutral,idx50,genai
sentences/openai/fold_1_nova/50.wav,neutral,idx50,openai
sentences/azure/fold_5_en-US-SaraNeural/4.wav,angry,idx4,azure
sentences/cosyvoice2/fold_5_verse/4.wav,angry,idx4,cosyvoice2
sentences/genai/fold_2_leda/4.wav,angry,idx4,genai
sentences/openai/fold_1_nova/4.wav,angry,idx4,openai
sentences/azure/fold_4_en-US-AriaNeural/66.wav,surprised,idx66,azure
sentences/cosyvoice2/fold_1_nova/66.wav,surprised,idx66,cosyvoice2
sentences/genai/fold_2_leda/66.wav,surprised,idx66,genai
sentences/openai/fold_3_echo/66.wav,surprised,idx66,openai
sentences/azure/fold_2_en-US-DavisNeural/39.wav,happy,idx39,azure
sentences/cosyvoice2/fold_5_verse/39.wav,happy,idx39,cosyvoice2
sentences/genai/fold_3_fenrir/39.wav,happy,idx39,genai
sentences/openai/fold_4_onyx/39.wav,happy,idx39,openai
sentences/azure/fold_5_en-US-SaraNeural/16.wav,disgusted,idx16,azure
sentences/cosyvoice2/fold_1_nova/16.wav,disgusted,idx16,cosyvoice2
sentences/genai/fold_5_charon/16.wav,disgusted,idx16,genai
sentences/openai/fold_5_verse/16.wav,disgusted,idx16,openai
sentences/azure/fold_5_en-US-SaraNeural/28.wav,fearful,idx28,azure
sentences/cosyvoice2/fold_4_onyx/28.wav,fearful,idx28,cosyvoice2
sentences/genai/fold_4_kore/28.wav,fearful,idx28,genai
sentences/openai/fold_4_onyx/28.wav,fearful,idx28,openai
sentences/azure/fold_1_en-US-JennyNeural/8.wav,angry,idx8,azure
sentences/cosyvoice2/fold_4_onyx/8.wav,angry,idx8,cosyvoice2
sentences/genai/fold_1_zephyr/8.wav,angry,idx8,genai
sentences/openai/fold_1_nova/8.wav,angry,idx8,openai
sentences/azure/fold_2_en-US-DavisNeural/47.wav,neutral,idx47,azure
sentences/cosyvoice2/fold_3_echo/47.wav,neutral,idx47,cosyvoice2
sentences/genai/fold_1_zephyr/47.wav,neutral,idx47,genai
sentences/openai/fold_2_coral/47.wav,neutral,idx47,openai
sentences/azure/fold_5_en-US-SaraNeural/26.wav,fearful,idx26,azure
sentences/cosyvoice2/fold_3_echo/26.wav,fearful,idx26,cosyvoice2
sentences/genai/fold_3_fenrir/26.wav,fearful,idx26,genai
sentences/openai/fold_3_echo/26.wav,fearful,idx26,openai
sentences/azure/fold_1_en-US-JennyNeural/68.wav,surprised,idx68,azure
sentences/cosyvoice2/fold_1_nova/68.wav,surprised,idx68,cosyvoice2
sentences/genai/fold_4_kore/68.wav,surprised,idx68,genai
sentences/openai/fold_3_echo/68.wav,surprised,idx68,openai
sentences/azure/fold_1_en-US-JennyNeural/59.wav,sad,idx59,azure
sentences/cosyvoice2/fold_3_echo/59.wav,sad,idx59,cosyvoice2
sentences/genai/fold_2_leda/59.wav,sad,idx59,genai
sentences/openai/fold_4_onyx/59.wav,sad,idx59,openai
