wav_path,emotion,prompt_id,tts
sentences/azure/fold_4_en-US-AriaNeural/38.wav,happy,idx38,azure
sentences/cosyvoice2/fold_2_coral/38.wav,happy,idx38,cosyvoice2
sentences/genai/fold_5_charon/38.wav,happy,idx38,genai
sentences/openai/fold_3_echo/38.wav,happy,idx38,openai
sentences/azure/fold_1_en-US-JennyNeural/14.wav,disgusted,idx14,azure
sentences/cosyvoice2/fold_5_verse/14.wav,disgusted,idx14,cosyvoice2
sentences/genai/fold_2_leda/14.wav,disgusted,idx14,genai
sentences/openai/fold_4_onyx/14.wav,disgusted,idx14,openai
sentences/azure/fold_1_en-US-JennyNeural/51.wav,sad,idx51,azure
sentences/cosyvoice2/fold_1_nova/51.wav,sad,idx51,cosyvoice2
sentences/genai/fold_5_charon/51.wav,sad,idx51,genai
sentences/openai/fold_2_coral/51.wav,sad,idx51,openai
sentences/azure/fold_5_en-US-SaraNeural/50.wav,neutral,idx50,azure
sentences/cosyvoice2/fold_2_coral/50.wav,neutral,idx50,cosyvoice2
sentences/genai/fold_3_fenrir/50.wav,neutral,idx50,genai
sentences/openai/fold_2_coral/50.wav,neutral,idx50,openai
sentences/azure/fold_3_en-US-GuyNeural/4.wav,angry,idx4,azure
sentences/cosyvoice2/fold_2_coral/4.wav,angry,idx4,cosyvoice2
sentences/genai/fold_1_zephyr/4.wav,angry,idx4,genai
sentences/openai/fold_4_onyx/4.wav,angry,idx4,openai
sentences/azure/fold_1_en-US-JennyNeural/66.wav,surprised,idx66,azure
sentences/cosyvoice2/fold_5_verse/66.wav,surprised,idx66,cosyvoice2
sentences/genai/fold_5_charon/66.wav,surprised,idx66,genai
sentences/openai/fold_5_verse/66.wav,surprised,idx66,openai
sentences/azure/fold_1_en-US-JennyNeural/39.wav,happy,idx39,azure
sentences/cosyvoice2/fold_4_onyx/39.wav,happy,idx39,cosyvoice2
sentences/genai/fold_5_charon/39.wav,happy,idx39,genai
sentences/openai/fold_2_coral/39.wav,happy,idx39,openai
sentences/azure/fold_2_en-US-DavisNeural/16.wav,disgusted,idx16,azure
sentences/cosyvoice2/fold_3_echo/16.wav,disgusted,idx16,cosyvoice2
sentences/genai/fold_1_zephyr/16.wav,disgusted,idx16,genai
sentences/openai/fold_4_onyx/16.wav,disgusted,idx16,openai
sentences/azure/fold_1_en-US-JennyNeural/28.wav,fearful,idx28,azure
sentences/cosyvoice2/fold_1_nova/28.wav,fearful,idx28,cosyvoice2
sentences/genai/fold_5_charon/28.wav,fearful,idx28,genai
sentences/openai/fold_3_echo/28.wav,fearful,idx28,openai
sentences/azure/fold_4_en-US-AriaNeural/8.wav,angry,idx8,azure
sentences/cosyvoice2/fold_3_echo/8.wav,angry,idx8,cosyvoice2
sentences/genai/fold_4_kore/8.wav,angry,idx8,genai
sentences/openai/fold_3_echo/8.wav,angry,idx8,openai
sentences/azure/fold_1_en-US-JennyNeural/47.wav,neutral,idx47,azure
sentences/cosyvoice2/fold_4_onyx/47.wav,neutral,idx47,cosyvoice2
sentences/genai/fold_5_charon/47.wav,neutral,idx47,genai
sentences/openai/fold_5_verse/47.wav,neutral,idx47,openai
sentences/azure/fold_4_en-US-AriaNeural/26.wav,fearful,idx26,azure
sentences/cosyvoice2/fold_5_verse/26.wav,fearful,idx26,cosyvoice2
sentences/genai/fold_4_kore/26.wav,fearful,idx26,genai
sentences/openai/fold_1_nova/26.wav,fearful,idx26,openai
sentences/azure/fold_4_en-US-AriaNeural/68.wav,surprised,idx68,azure
sentences/cosyvoice2/fold_2_coral/68.wav,surprised,idx68,cosyvoice2
sentences/genai/fold_5_charon/68.wav,surprised,idx68,genai
sentences/openai/fold_1_nova/68.wav,surprised,idx68,openai
sentences/azure/fold_2_en-US-DavisNeural/59.wav,sad,idx59,azure
sentences/cosyvoice2/fold_1_nova/59.wav,sad,idx59,cosyvoice2
sentences/genai/fold_4_kore/59.wav,sad,idx59,genai
sentences/openai/fold_2_coral/59.wav,sad,idx59,openai
